t;y;c
1988Q1;1.2;115
1988Q2;0.6;114.6667
1988Q3;0.8;116
1988Q4;0.4;114.6667
1989Q1;1.2;116.3333
1989Q2;0.7;116.3333
1989Q3;0.6;115.3333
1989Q4;1.1;114.3333
1990Q1;0.7;112.6667
1990Q2;0.1;109.3333
1990Q3;1.3;104.3333
1990Q4;-0.4;97.33333
1991Q1;0.1;91.66667
1991Q2;0.7;92.33333
1991Q3;0.8;94.33333
1991Q4;0;92.66667
1992Q1;1;95
1992Q2;0.2;93.33333
1992Q3;0.5;87.66667
1992Q4;-0.3;82
1993Q1;-0.5;77.33333
1993Q2;0;79
1993Q3;0.2;81.33333
1993Q4;0.2;86.33333
1994Q1;0.5;94
1994Q2;1;101.6667
1994Q3;0.7;105.6667
1994Q4;0.6;108.3333
1995Q1;0.7;107.3333
1995Q2;0.4;105
1995Q3;0.2;101.3333
1995Q4;-0.3;92
1996Q1;1.2;89.66667
1996Q2;-0.4;92.33333
1996Q3;0.9;89.33333
1996Q4;0.2;92.33333
1997Q1;0.2;98.33333
1997Q2;1;99
1997Q3;0.9;102
1997Q4;0.8;106
1998Q1;0.6;109.6667
1998Q2;0.7;111.3333
1998Q3;0.5;110.6667
1998Q4;0.7;104.3333
1999Q1;0.3;102
1999Q2;0.6;102.3333
1999Q3;1;110
1999Q4;0.9;115.6667
2000Q1;0.7;115
2000Q2;0.7;115.3333
2000Q3;0.7;115.6667
2000Q4;0.9;112.6667
2001Q1;0.5;111
2001Q2;0.3;104.3333
2001Q3;0.5;99.66667
2001Q4;-0.1;93.33333
2002Q1;0.4;96.33333
2002Q2;0.5;101.3333
2002Q3;0.2;97
2002Q4;0.2;96.66667
2003Q1;0.3;92.66667
2003Q2;-0.3;90
2003Q3;0.4;93.66667
2003Q4;0.4;98
2004Q1;0.8;104
2004Q2;0.8;104.6667
2004Q3;0;105.6667
2004Q4;0.8;105.3333
2005Q1;0.2;105
2005Q2;0.1;103
2005Q3;0.7;103.6667
2005Q4;0.2;105.3333
2006Q1;0.5;106.3333
2006Q2;1.1;108
2006Q3;0;110
2006Q4;0.6;110
2007Q1;0.6;110.3333
2007Q2;0.3;113
2007Q3;0.8;112
2007Q4;0.3;110
2008Q1;0.7;107.6667
2008Q2;-0.3;102.6667
2008Q3;0.2;93.33333
2008Q4;-1.4;79.66667
2009Q1;-1.3;72.33333
2009Q2;0.3;74.33333
2009Q3;0.3;82
2009Q4;0.7;88.66667
2010Q1;0.2;92.33333
2010Q2;0.7;97.66667
2010Q3;0.5;100
2010Q4;0.4;103.6667
2011Q1;1.1;107.3333
2011Q2;0;108.3333
2011Q3;0.3;100.6667
